x: -0.252628, y: 0.113144, z: -0.111473, roll: 0.005941, pitch: 0.128159, yaw: -0.031881
x: -0.066296, y: -0.023943, z: -0.184877, roll: -0.104879, pitch: -0.005512, yaw: -0.006984
x: -0.092974, y: -0.019508, z: -0.180977, roll: -0.097092, pitch: 0.021997, yaw: 0.010687
x: -0.047425, y: -0.022902, z: -0.182925, roll: -0.101449, pitch: -0.015288, yaw: 0.014083
x: -0.075509, y: -0.017411, z: -0.180964, roll: -0.092878, pitch: 0.009094, yaw: 0.025383
x: -0.059451, y: -0.311589, z: 0.302947, roll: -0.483223, pitch: 0.090249, yaw: -0.043974
x: -1.240529, y: 1.793166, z: 0.358674, roll: 0.686677, pitch: -0.123556, yaw: 0.612473
x: -0.400556, y: 0.463435, z: -0.622604, roll: 0.172323, pitch: 0.203130, yaw: 0.044226
x: -0.144585, y: 0.103007, z: -0.539586, roll: -0.036939, pitch: 0.079298, yaw: 0.099358
x: -0.049630, y: -0.069891, z: 0.095711, roll: -0.124465, pitch: 0.019767, yaw: -0.014887
x: -0.035331, y: -0.009331, z: -0.096006, roll: -0.080994, pitch: 0.006562, yaw: 0.008662
x: -0.204348, y: 0.041335, z: -0.326382, roll: -0.048560, pitch: 0.129313, yaw: 0.084543
x: -0.344147, y: 0.024461, z: -0.807087, roll: -0.062707, pitch: 0.146605, yaw: 0.249615
x: -0.063996, y: -0.020813, z: -0.033982, roll: -0.071560, pitch: 0.067400, yaw: 0.038280
x: -0.031108, y: 0.029778, z: -0.014859, roll: -0.008126, pitch: 0.031740, yaw: 0.020672
x: -0.018359, y: 0.029971, z: -0.015991, roll: -0.007301, pitch: 0.018508, yaw: 0.021170
x: -0.014497, y: 0.030606, z: -0.016159, roll: -0.006286, pitch: 0.014743, yaw: 0.019606
x: -0.034003, y: 0.027644, z: -0.015725, roll: -0.007709, pitch: 0.036151, yaw: 0.028527
x: -0.052927, y: -0.030995, z: -0.037898, roll: -0.085221, pitch: 0.054498, yaw: 0.030295
x: -0.091030, y: -0.003449, z: -0.008066, roll: -0.000487, pitch: 0.047572, yaw: -0.020328
x: -0.056328, y: 0.010733, z: 0.007207, roll: 0.007907, pitch: 0.047261, yaw: -0.022133
x: -0.007935, y: -0.000615, z: 0.000160, roll: 0.000309, pitch: 0.006748, yaw: -0.006151
x: -0.003469, y: -0.001115, z: -0.000063, roll: -0.000078, pitch: 0.002935, yaw: -0.002593
x: 0.007055, y: -0.001854, z: -0.000270, roll: -0.000489, pitch: -0.005959, yaw: 0.004728
x: 0.006565, y: -0.001974, z: -0.000274, roll: -0.000811, pitch: -0.005575, yaw: 0.004220
x: 0.001715, y: -0.000139, z: -0.000232, roll: 0.000780, pitch: -0.001370, yaw: 0.001297
